"name","description","stars","forks","subscribers_now","open_issues","license","created_at","updated_at","default_branch","n_contributors","perc_first_10_contributors","perc_of_1contr_contributors","sum_contributions","avg_time_between_releases","n_releases_last60days","avg_time_between_releases_last60d","releases_1m_n","new_issues_1m_n","closed_issues_1m_n","authors_1m_n","main_commit_1m_n","sec_policy","funding_info","n_vunerabilities_1y","n_vunerabilities_2y","day_of_download","age_in_days","issues_dynamic","open_issues_vs_contributors","delta_vunerabilities","index_value","index","index_part1_value","index_part1","index_part2_value","index_part2"
"Wazuh","Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.",13177,1945,225,2693,"Other","2015-08-11","2025-08-24","main",221,0.398561565017261,0.0361990950226244,34760,28.9430894308943,6,10.2,3,259,292,17,282,1,0,5,10,"2025-08-24",3666,-33,12.1855203619909,0,64.7227757012499,21,61.9917554522916,18,68,20
"Sn1per","Attack Surface Management Platform",8983,1963,334,9,"Other","2015-09-06","2025-08-24","master",25,0.950437317784257,0.52,343,53.4375,0,NA,0,1,0,0,0,1,0,0,0,"2025-08-24",3640,1,0.36,0,62.8661542539094,20,51.9212827988338,11,76,25
"Infisical","Infisical is the open-source platform for secrets management, PKI, and SSH access.",19857,1322,54,475,"Other","2022-08-05","2025-08-24","main",192,0.918922651933702,0.494791666666667,14480,2.79778393351801,40,1.53846153846154,27,26,17,12,444,1,0,-1,-1,"2025-08-24",1115,9,2.47395833333333,1,46.1090906101265,4,41.1999994518986,7,52,8
"Suricata","Suricata is a network Intrusion Detection System, Intrusion Prevention System and Network Security Monitoring engine developed by the OISF and the Suricata community.",5502,1566,180,42,"GNU General Public License v2.0","2012-08-14","2025-08-24","master",200,0.879435630374228,0.365,16514,36.0121951219512,2,0,0,0,0,10,0,1,0,15,27,"2025-08-24",4758,0,0.21,-3,57.6479877758187,14,59.0213109223343,15,56,12
"EasyEASM","Zero-dollar attack surface management tool",296,47,13,8,"MIT License","2023-07-08","2025-08-13","main",3,1,0,44,29,0,NA,0,0,0,0,0,1,0,-1,-1,"2025-08-24",778,0,2.66666666666667,1,43.6363636363636,2,33.3333333333333,4,56,13
"MISP","MISP (core software) - Open Source Threat Intelligence and Sharing Platform",5872,1493,282,2767,"GNU Affero General Public License v3.0","2013-02-07","2025-08-24","2.5",246,0.930100640439158,0.353658536585366,27325,26.2913907284768,3,16,1,23,6,6,0,1,0,8,19,"2025-08-24",4581,17,11.2479674796748,3,56.3814100789978,13,65.0325851448294,23,46,4
"OpenCTI","Open Cyber Threat Intelligence Platform",7660,1113,148,1469,"Other","2018-12-17","2025-08-24","master",110,0.798632783474513,0.463636363636364,6729,7.80208333333333,14,4.46153846153846,7,152,159,24,0,1,0,7,8,"2025-08-24",2442,-7,13.3545454545455,-6,49.4339168444466,6,47.2955142148187,9,52,9
"Prometheus","The Prometheus monitoring system and time series database.",60050,9734,1113,727,"Apache License 2.0","2012-11-24","2025-08-24","main",352,0.579457808323788,0,13095,11.2434017595308,6,11.6,1,37,37,31,99,1,0,0,6,"2025-08-24",4656,0,2.06534090909091,6,85.7872787769695,30,85.6100110911107,30,86,30
"TheHive","TheHive: a Scalable, Open Source and Free Security Incident Response Platform",3797,667,172,834,"GNU Affero General Public License v3.0","2016-11-03","2025-08-24","main",17,0.996730839084635,0.294117647058824,2753,25.1785714285714,0,NA,0,0,0,0,0,1,0,4,7,"2025-08-24",3216,0,49.0588235294118,-1,47.2260527233712,5,39.9144299928471,6,56,15
"OpenVAS","This repository contains the scanner component for Greenbone Community Edition.",4010,704,90,20,"GNU General Public License v2.0","2018-01-22","2025-08-23","main",52,0.889689158453374,0.307692307692308,5276,30.9318181818182,7,8.33333333333333,3,0,1,7,43,1,0,0,0,"2025-08-24",2771,-1,0.384615384615385,0,60.0238048532211,16,43.3769755642386,8,80,27
"Velociraptor","Digging Deeper....",3399,544,73,70,"Other","2018-03-24","2025-08-23","master",113,0.920418848167539,0.584070796460177,2865,41.9473684210526,0,NA,0,21,19,5,0,1,0,3,4,"2025-08-24",2710,2,0.619469026548673,-2,49.4397045293584,7,32.3061249704904,3,70,22
"Gophish","Open-Source Phishing Toolkit",13005,2685,345,675,"Other","2013-11-18","2025-08-24","master",45,0.951792336217553,0.711111111111111,809,152.25,0,NA,0,88,80,0,0,1,0,1,2,"2025-08-24",4297,8,15,0,54.7528258035057,11,52.046847306427,12,58,16
"Flow","Repository containing source code of MixewayFlow service that is Swiss army knife for DevSecOps Teams",52,4,1,1,"Other","2024-08-09","2025-08-21","main",3,1,0,271,30.3,0,NA,0,0,0,1,22,1,0,26,38,"2025-08-24",380,0,0.333333333333333,-14,41.8181818181818,1,33.3333333333333,5,52,7
"Elasticsearch","Free and Open Source, Distributed, RESTful Search Engine",73610,25386,2657,5366,"Other","2010-02-08","2025-08-24","main",349,0.359054758643889,0,83238,11.1691542288557,12,1.90909090909091,9,411,368,44,696,1,0,6,22,"2025-08-24",5676,43,15.3753581661891,10,70.5368614422172,25,84.3175793107315,29,54,11
"osquery","SQL powered operating system instrumentation, monitoring, and analytics.",22678,2519,672,651,"Other","2014-07-29","2025-08-24","master",382,0.58390243902439,0.526178010471204,4100,29.2888888888889,1,NA,1,9,2,5,0,1,1,0,1,"2025-08-24",4044,7,1.70418848167539,1,72.7325597400939,29,75.0096928568388,25,70,21
"Artemis","A modular vulnerability scanner with automatic report generation capabilities.",919,79,21,40,"BSD 3-Clause ""New"" or ""Revised"" License","2022-11-28","2025-08-22","main",20,0.992163954189271,0.35,1659,29.4,0,NA,0,1,2,3,30,1,0,4,7,"2025-08-24",1000,-1,2,-1,45.0712367800975,3,27.6306007635122,1,66,17
